134217728

21 74.67466999999999

20 72.3586205 1743392200 12,989284098148344
19 73.765359125 581130733 4,329761363565922
18 73.760154375 193710244 1,44325378537178
17 74.121951125 64570081 0,4810845926404
16 74.40723525 21523360 0,160361528396606
15 75.786396125 7174453 0,053453840315342
14 77.99317525000001 2391484 0,017817944288254
13 106.67385125 797161 0,005939312279224
12 143.63140925 8 265720 0,001979768276215
11 643.6800545 4 88573 0,000659920275211
10 2536.0606165 2 29524 0,000219970941544
9 7790.373300 1 9841 0,000073321163654
